make_model,body_type,Body Color,km,hp,Gearing Type,Extras,price
Audi A1,Sedans,Black,56013,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",15770
Audi A1,Sedans,Red,80000,85,Automatic,"Alloy wheels,Sport seats,Sport suspension,Voice Control",14500
Audi A1,Sedans,Black,83450,85,Automatic,"Alloy wheels,Voice Control",14640
Audi A1,Sedans,Brown,73000,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14500
Audi A1,Sedans,Black,16200,85,Automatic,"Alloy wheels,Sport package,Sport suspension,Voice Control",16790
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Station wagon,White,62111,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",16422
Audi A1,Compact,Red,14986,85,Automatic,Alloy wheels,14480
Audi A1,Sedans,Grey,57000,85,Automatic,Alloy wheels,16700
Audi A1,Sedans,White,16103,85,Automatic,Alloy wheels,17990
Audi A1,Sedans,Black,11300,85,Automatic,"Alloy wheels,Shift paddles",18500
Audi A1,Sedans,White,31600,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control",18380
Audi A1,Sedans,Grey,45764,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",18399
Audi A1,Sedans,Black,34914,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17990
Audi A1,Sedans,Grey,27000,85,Automatic,Alloy wheels,18700
Audi A1,Sedans,Blue,9752,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Sedans,White,28408,85,Automatic,"Alloy wheels,Sport package",18500
Audi A1,Compact,Black,50280,85,Automatic,Alloy wheels,18400
Audi A1,Sedans,Black,13406,85,Automatic,"Alloy wheels,Catalytic Converter,Shift paddles,Voice Control",18500
Audi A1,Sedans,White,51160,85,Automatic,"Alloy wheels,Shift paddles,Sport package,Voice Control",18500
