location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Afghanistan,38928341,54.422,18.6,2.581,1.337,1803.987,,64.83,0.498
Albania,2877800,104.871,38,13.188,8.643,11803.431,1.1,78.57,0.785
Algeria,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,76.88,0.754
Andorra,77265,163.755,,,,,,83.73,0.858
Angola,32866268,23.89,16.8,2.405,1.362,5819.495,,61.15,0.581
Antigua and Barbuda,97928,231.845,32.1,6.933,4.631,21490.943,,77.02,0.78
Argentina,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,76.67,0.825
Armenia,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,75.09,0.755
Australia,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,83.44,0.939
Austria,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,81.54,0.908
Azerbaijan,10139175,119.309,32.4,6.018,3.871,15847.419,,73,0.757
Bahamas,393248,39.497,34.3,8.996,5.2,27717.847,,73.92,0.807
Bahrain,1701583,1935.907,32.4,2.372,1.387,43290.705,,77.29,0.846
Bangladesh,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,72.59,0.608
Barbados,287371,664.463,39.8,14.952,9.473,16978.068,,79.19,0.8
Belarus,9449321,46.858,40.3,14.799,9.788,17167.967,,74.79,0.808
Belgium,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,81.63,0.916
Belize,397621,16.426,25,3.853,2.279,7824.362,,74.62,0.708
Benin,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,61.77,0.515
Bhutan,771612,21.188,28.6,4.885,2.977,8708.597,1.5,71.78,0.612
Bolivia,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,71.51,0.693
Bosnia and Herzegovina,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,77.4,0.768
Botswana,2351625,4.044,25.8,3.941,2.242,15807.374,,69.59,0.717
Brazil,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,75.88,0.759
Brunei,437483,81.347,32.4,4.591,2.382,71809.251,,75.86,0.853
Bulgaria,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,75.05,0.813
Burkina Faso,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,61.58,0.423
Burundi,11890781,423.062,17.5,2.562,1.504,702.225,71.7,61.58,0.417
Cambodia,16718971,90.672,25.6,4.412,2.385,3645.07,,69.82,0.582
Cameroon,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,59.29,0.556
Canada,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,82.43,0.926
Cape Verde,555988,135.58,25.7,4.46,3.437,6222.554,,72.98,0.654
Central African Republic,4829764,7.479,18.3,3.655,2.251,661.24,,53.28,0.367
Chad,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,54.24,0.404
Chile,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,80.18,0.843
China,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,76.91,0.752
Colombia,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,77.29,0.747
Comoros,869595,437.352,20.4,2.963,1.726,1413.89,18.1,64.32,0.503
Congo,5518092,15.405,19,3.402,2.063,4881.406,37,64.57,0.606
Costa Rica,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,80.28,0.794
Cote d'Ivoire,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,57.78,0.492
Croatia,4105268,73.726,44,19.724,13.053,22669.797,0.7,78.49,0.831
Cuba,11326616,110.408,43.1,14.738,9.719,,,78.8,0.777
Czechia,10708982,137.176,43.3,19.027,11.58,32605.906,,79.38,0.888
Democratic Republic of Congo,89561404,35.879,17,3.02,1.745,808.133,77.1,60.68,0.457
Denmark,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,80.9,0.929
Djibouti,988002,41.285,25.4,4.213,2.38,2705.406,22.5,67.11,0.476
Dominica,71991,98.567,,,,9673.367,,75,0.715
Dominican Republic,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,74.08,0.736
Ecuador,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,77.01,0.752
Egypt,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,71.99,0.696
El Salvador,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,73.32,0.674
Equatorial Guinea,1402985,45.194,22.4,2.846,1.752,22604.873,,58.74,0.591
Eritrea,3546427,44.304,19.3,3.607,2.171,1510.459,,66.32,0.44
Estonia,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,78.74,0.871
Eswatini,1160164,79.492,21.5,3.163,1.845,7738.975,,60.19,0.588
Ethiopia,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,66.6,0.463
Fiji,896444,49.562,28.6,6.224,3.284,8702.975,1.4,67.44,0.741
Finland,5540718,18.136,42.8,21.228,13.264,40585.721,,81.91,0.92
France,65273512,122.578,42,19.718,13.079,38605.671,,82.66,0.901
Gabon,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,66.47,0.702
Gambia,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,62.05,0.46
Georgia,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,73.77,0.78
Germany,83783945,237.016,46.6,21.453,15.957,45229.245,,81.33,0.936
Ghana,31072945,126.719,21.1,3.385,1.948,4227.63,12,64.07,0.592
Greece,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,82.24,0.87
Grenada,112519,317.132,29.4,7.304,5.021,13593.877,,72.4,0.772
Guatemala,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,74.3,0.65
Guinea,13132792,51.755,19,3.135,1.733,1998.926,35.3,61.6,0.459
Guinea-Bissau,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,58.32,0.455
Guyana,786559,3.952,26.3,5.305,2.837,7435.047,,69.91,0.654
Haiti,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,64,0.498
Honduras,9904608,82.805,24.9,4.652,2.883,4541.795,16,75.27,0.617
Hong Kong,7496988,7039.714,44.8,16.303,10.158,56054.92,,84.86,0.933
Hungary,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,76.88,0.838
