Id,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),BASEMENT PEOPLE:People Occupant Count [](TimeStep),BASEMENT:Zone Mean Air Temperature [C](TimeStep),COOLSYS1 CHILLER 1:Chiller Electric Power [W](TimeStep)
1,18.7,14.4,1.03E-02,76,101000,0.9,0,0,25,8.34999612980869,0,26.444572557357,1490.75630224014
2,18.2,14.7,1.05E-02,80,101000,1.7,23,0,25,8.34999612980869,0,26.447438931142,2813.50850594777
3,18.1,14.1,1.00E-02,77,101000,1.2,9,0,25,8.34999612980869,0,26.4503228534267,2092.21835084681
4,17.1,13.8,9.88E-03,81,101000,0.9,38,0,25,8.34999612980869,0,26.4532787160489,2793.9591053724
5,16,12.3,8.97E-03,79,101000,0,0,0,25,8.34999612980869,0,26.4563819053177,293.612920428677
6,16.1,11.9,8.68E-03,76,101000,0.2,0,0,25,8.34999612980869,0,26.4593008368382,1.91874353265117
7,17.3,11.8,8.63E-03,70,101000,0.2,0,0,25,8.34999612980869,0,26.4619968464561,-1252.56936453264
8,19.2,11.9,8.76E-03,63,101000,0,0,0,25,8.34999612980869,0,26.4638843751831,-2153.41710404584
9,22.2,12.1,8.86E-03,53,101000,0,132,233,25,8.34999612980869,0,26.4669075076156,92107.2487170215
10,25,12.1,8.91E-03,45,101000,0.3,225,717,25,8.34999612980869,0,26.4770351897797,94234.2382902175
11,27.6,11.9,8.77E-03,38,101000,1.1,360,987,25,8.34999612980869,0,26.4925440541501,88665.790359383
12,28.8,11.5,8.41E-03,34,101000,2.1,6,972,25,8.34999612980869,0,26.4976908190685,87703.4284040657
13,29.2,11.4,8.35E-03,33,101000,3.4,24,949,25,8.34999612980869,0,26.5057146685207,89404.9186315669
