DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd
2012-06-19,ORD,DFW,12.875,12.3312962231,9.81264711881
2012-09-10,LAS,DEN,14.2857142857,10.7751815054,9.46673373551
2012-10-05,DEN,LAX,10.8636363636,11.0831767533,9.03588325219
2011-10-09,ATL,ORD,11.48,11.169267842,7.99020233369
2012-02-21,DEN,SFO,11.45,11.2693637331,9.51715901882
2013-01-22,ATL,MCO,10.3636363636,12.0736491913,8.23202488858
2011-10-20,SFO,LAS,15.2666666667,11.1739361192,9.80827705821
2012-01-28,EWR,ORD,8.58823529412,9.59995239987,6.1650103764
2012-05-27,ATL,CLT,10.2380952381,9.17564514329,6.60987716909
2013-02-22,ATL,DEN,8.29411764706,10.7343196822,5.54261564925
2012-04-25,ATL,MSP,12.6,10.7693986302,9.72539630726
2013-01-31,ORD,EWR,8.93333333333,12.3363028724,9.40719076533
2012-06-23,IAH,LAX,13.6296296296,10.2673098395,9.17835307897
2011-09-12,LAX,ORD,12.8076923077,12.667557679,8.12905520104
2012-11-15,DFW,ORD,9.9,12.8790624325,6.60860682826
2012-03-04,ATL,DEN,10.5652173913,10.5612839988,7.59082033509
2012-01-10,ORD,PHX,13.76,10.6498079399,9.9552331297
2013-02-13,SEA,SFO,7.0,11.7576441671,4.472135955
2012-06-15,EWR,MCO,12.875,10.5153947582,9.66532349489
2012-02-03,ATL,MSP,9.84210526316,10.91421574,7.81922955778
2013-02-06,SFO,DEN,10.5238095238,10.9195671805,7.13876073012
2011-12-02,ORD,DTW,9.83333333333,11.2515595334,8.30485329403
2012-08-27,JFK,MIA,16.0689655172,10.2134717492,10.3472944514
2012-04-16,PHL,DFW,6.15384615385,11.3643598845,4.18023432051
2012-11-12,EWR,BOS,11.0,11.7405184659,8.71175853902
2011-09-08,ATL,PHL,8.68421052632,11.552415873,6.70035348635
2012-10-24,LAS,JFK,14.0357142857,11.4018690411,8.97107344358
2012-04-16,ORD,EWR,8.13333333333,12.1135127862,6.28906836919
2012-03-14,PHL,ATL,8.17647058824,11.5294384683,6.61660122455
2012-07-24,EWR,SFO,13.96,10.6249412281,10.9219961545
2011-11-19,SFO,ATL,9.52631578947,9.76583730479,6.65305628225
2012-05-02,JFK,MCO,13.8518518519,10.6374160288,9.247468276
2013-03-04,MIA,JFK,13.0,9.89053507658,8.88350531416
2012-04-28,SEA,ORD,7.625,9.75589074385,4.96487663492
2012-08-31,LAS,JFK,17.6216216216,11.1219308907,11.6865339205
2012-02-11,MIA,LGA,13.7894736842,10.2673098395,13.2269881823
2013-01-17,DTW,ATL,8.16666666667,11.0436001858,6.22376848201
2012-08-01,ORD,DTW,10.65,11.4018690411,9.83696037776
2012-10-13,LAX,JFK,17.0,12.7930154861,11.2173335258
2012-08-02,SFO,ORD,16.0333333333,12.3085984692,11.6218680122
2012-08-16,ORD,SFO,18.4848484848,12.343787735,13.4956502532
2012-03-21,BOS,ORD,7.8,11.9270078294,6.03797506265
2012-09-04,DEN,SEA,13.0,10.992918378,9.33436847262
2012-07-12,BOS,EWR,12.0909090909,11.5938196589,9.2319790527
2012-01-07,PHL,BOS,5.54545454545,7.78513105166,4.22761484442
2012-09-01,LAX,EWR,13.1666666667,10.3269941571,9.95933761839
2011-12-12,ATL,ORD,10.6315789474,12.0621013169,9.91749591108
2012-07-23,ORD,DEN,14.037037037,11.5826185696,9.70519877132
2012-03-06,DFW,ORD,6.92857142857,12.1690221146,5.01481322168
2012-01-25,PHL,DFW,5.45454545455,10.4270551669,4.15604707297
2012-07-24,MSP,DEN,11.0869565217,10.9302242139,8.14590272624
2012-03-07,ATL,MCO,11.0869565217,11.840990286,8.4526114495
2012-10-19,BOS,EWR,13.2608695652,11.2062909091,10.7204875708
2011-10-30,ORD,MSP,8.63157894737,11.0385935365,6.4911095295
2011-12-25,EWR,LAX,12.8181818182,10.0074151716,8.67199303525
