,Roll Kalman (deg),Pitch Kalman (deg),Temperature (C),Altitute (m),Time (s),Gear,Latitude,Longitude,Speed (mps),Time (HHMMSSCC)
0,-32.76,-33.63,19,1.35,645.21,0,50.953853,-1.362635,12.55,17041100.0
1,-25.39,-17.72,19,1.6,646.22,0,50.953853,-1.362635,12.55,17041100.0
2,-9.11,-7.15,18.9,3.74,647.23,0,50.953853,-1.362635,12.55,17041100.0
3,-22.52,2.1,18.9,4.98,648.24,0,50.953853,-1.362635,12.55,17041100.0
4,-10.68,-31.94,18.9,5.31,649.25,0,50.953853,-1.362635,12.55,17041100.0
5,-4.96,-10.79,18.8,5.14,650.26,0,50.953548,-1.363327,14.38,17041600.0
6,5,-9.82,18.8,7.86,651.27,0,50.953548,-1.363327,14.38,17041600.0
7,-2.01,-0.62,18.8,11.16,652.28,0,50.953548,-1.363327,14.38,17041600.0
8,-9.81,-10.72,18.8,13.39,653.29,0,50.953548,-1.363327,14.38,17041600.0
9,-67.08,-50.5,18.7,14.3,654.3,0,50.953548,-1.363327,14.38,17041600.0
10,-25.84,-15.96,18.7,13.14,655.31,0,50.953971,-1.363667,12.75,17042100.0
11,-13.15,9.64,18.7,12.15,656.33,0,50.953971,-1.363667,12.75,17042100.0
12,-20.54,-17.35,18.7,11.49,657.34,0,50.953971,-1.363667,12.75,17042100.0
13,1.36,-60.74,18.6,11.66,658.43,0,50.953971,-1.363667,12.75,17042100.0
14,-19.95,-26.72,18.6,13.3,659.53,0,50.953971,-1.363667,12.75,17042100.0
15,-6.88,-16.55,18.5,14.96,660.63,0,50.953971,-1.363667,12.75,17042100.0
16,-17.48,25.46,18.5,16.77,661.73,0,50.953891,-1.362802,12.75,17042800.0
17,-32.13,14.45,18.5,17.43,662.83,0,50.953788,-1.362883,11.7,17042900.0
18,-14.32,15.14,18.4,16.36,663.93,0,50.953681,-1.362948,12.83,17043000.0
19,3.69,-12.87,18.4,13.64,665.03,0,50.953575,-1.363038,13.87,17043100.0
20,12.39,9.91,18.4,12.97,666.12,0,50.953506,-1.363207,15.97,17043200.0
21,9.26,5.86,18.3,14.05,667.13,0,50.953506,-1.363207,15.97,17043200.0
22,-6.49,-23.24,18.3,13.39,668.14,0,50.953506,-1.363207,15.97,17043200.0
23,-15.64,-12.88,18.3,14.13,669.16,0,50.953506,-1.363207,15.97,17043200.0
24,-17.07,1.19,18.3,14.79,670.17,0,50.953891,-1.363687,17.77,17043600.0
25,-10.84,23.79,18.2,13.55,671.18,0,50.953891,-1.363687,17.77,17043600.0
26,2.87,10.89,18.2,12.73,672.19,0,50.953891,-1.363687,17.77,17043600.0
