location,happiness_score
Finland,7.809
Denmark,7.646
Switzerland,7.56
Iceland,7.504
Norway,7.488
Netherlands,7.449
Sweden,7.353
New Zealand,7.3
Austria,7.294
Luxembourg,7.238
Canada,7.232
Australia,7.223
United Kingdom,7.165
Israel,7.129
Costa Rica,7.121
Ireland,7.094
Germany,7.076
United States,6.94
Czechia,6.911
Belgium,6.864
United Arab Emirates,6.791
Malta,6.773
France,6.664
Mexico,6.465
Taiwan,6.455
Uruguay,6.44
Saudi Arabia,6.406
Spain,6.401
Guatemala,6.399
Italy,6.387
Singapore,6.377
Brazil,6.376
Slovenia,6.363
El Salvador,6.348
Kosovo,6.325
Panama,6.305
Slovakia,6.281
Uzbekistan,6.258
Chile,6.228
Bahrain,6.227
Lithuania,6.215
Trinidad and Tobago,6.192
Poland,6.186
Colombia,6.163
Nicaragua,6.137
Romania,6.124
Kuwait,6.102
Mauritius,6.101
Kazakhstan,6.058
Estonia,6.022
Philippines,6.006
Hungary,6
Thailand,5.999
Argentina,5.975
Honduras,5.953
Latvia,5.95
Ecuador,5.925
Portugal,5.911
Jamaica,5.89
South Korea,5.872
Japan,5.871
Peru,5.797
Serbia,5.778
Bolivia,5.747
Pakistan,5.693
Paraguay,5.692
Dominican Republic,5.689
Bosnia and Herzegovina,5.674
Moldova,5.608
Tajikistan,5.556
Montenegro,5.546
Russia,5.546
Kyrgyzstan,5.542
Belarus,5.54
Greece,5.515
Hong Kong,5.51
Croatia,5.505
Libya,5.489
Mongolia,5.456
Malaysia,5.384
Vietnam,5.353
Indonesia,5.286
Benin,5.216
Maldives,5.198
Democratic Republic of Congo,5.194
Azerbaijan,5.165
North Macedonia,5.16
Ghana,5.148
Nepal,5.137
Turkey,5.132
China,5.124
Bulgaria,5.102
Morocco,5.095
Cameroon,5.085
Venezuela,5.053
Algeria,5.005
Senegal,4.981
Guinea,4.949
Niger,4.91
Laos,4.889
Albania,4.883
Cambodia,4.848
Bangladesh,4.833
Gabon,4.829
South Africa,4.814
Iraq,4.785
Lebanon,4.772
Burkina Faso,4.769
Gambia,4.751
Mali,4.729
Nigeria,4.724
Armenia,4.677
Georgia,4.673
Iran,4.672
Jordan,4.633
Mozambique,4.624
Kenya,4.583
Namibia,4.571
Ukraine,4.561
Liberia,4.558
Palestine,4.553
Uganda,4.432
Chad,4.423
Tunisia,4.392
Mauritania,4.375
Sri Lanka,4.327
Congo,4.311
Eswatini,4.308
Myanmar,4.308
Comoros,4.289
Togo,4.187
Ethiopia,4.186
Madagascar,4.166
Egypt,4.151
Sierra Leone,3.926
Burundi,3.775
Zambia,3.759
Haiti,3.721
Lesotho,3.653
India,3.573
Malawi,3.538
Yemen,3.527
Botswana,3.479
Tanzania,3.476
Central African Republic,3.476
Rwanda,3.312
Zimbabwe,3.299
South Sudan,2.817
Afghanistan,2.567
