State                      No.         Rate            No.         Rate           Ratio
---------------------------------------------------------------------------------------
Alabama                     928        22.7           1,225        30.0           0.76
Alaska                       98        17.2             102        17.9           0.96
Arizona                     696        18.6             814        21.7           0.86
Arkansas                    483        20.4             639        26.9           0.76
California                5,064        16.7           5,009        16.5           1.01
Colorado                    429        12.7             586        17.4           0.73
Connecticut                 287         8.7             335        10.2           0.86
Delaware                     53         7.8             106        15.6           0.50
District of Columbia        344        57.5              66        11.0           5.21
Florida                   2,323        17.5           2,517        19.0           0.92
Georgia                   1,377        20.8           1,466        22.1           0.94
Hawaii                       57         5.0             140        12.3           0.41
Idaho                       145        14.0             252        24.3           0.58
Illinois                  1,574        13.6           1,667        14.4           0.94
Indiana                     722        12.9           1,047        18.7           0.69
Iowa                        241         8.6             503        18.0           0.48
Kansas                      344        13.8             440        17.6           0.78
Kentucky                    605        16.3             821        22.1           0.74
Louisiana                 1,101        25.9             869        20.4           1.27
Maine                       123        10.0             196        15.9           0.63
Maryland                    708        14.6             708        14.6           1.00
Massachusetts               307         5.1             614        10.2           0.50
Michigan                  1,498        16.0           1,513        16.2           0.99
Minnesota                   351         7.9             598        13.5           0.59
Mississippi                 614        23.7             812        31.3           0.76
Missouri                    942        18.3           1,023        19.8           0.92
Montana                     144        17.8             181        22.4           0.80
Nebraska                    169        10.6             300        18.8           0.56
Nevada                      333        25.9             272        21.2           1.22
New Hampshire                83         7.5             153        13.8           0.54
New Jersey                  428         5.5             857        11.0           0.50
New Mexico                  288        18.6             431        27.8           0.67
New York                  2,515        13.9           2,226        12.3           1.13
North Carolina            1,265        18.8           1,407        20.9           0.90
North Dakota                 45         7.1              98        15.4           0.46
Ohio                      1,284        11.7           1,656        15.1           0.78
Oklahoma                    503        15.8             680        21.4           0.74
Oregon                      367        12.6             500        17.1           0.73
Pennsylvania              1,302        10.9           1,723        14.4           0.76
Rhode Island                 55         5.5              93         9.3           0.59
South Carolina              619        17.4             897        25.2           0.69
South Dakota                 75        10.7             146        20.8           0.51
Tennessee                 1,003        20.3           1,161        23.4           0.86
Texas                     3,727        21.5           3,229        18.6           1.15
Utah                        214        12.1             269        15.2           0.80
Vermont                      82        14.5              91        16.0           0.90
Virginia                    984        15.7             965        15.4           1.02
Washington                  550        11.0             768        15.3           0.72
West Virginia               292        16.2             431        23.9           0.68
Wisconsin                   491         9.9             823        16.6           0.60
Wyoming                      85        18.5             111        24.1           0.77

Total                    38,317        15.2          43,536        17.3           0.88
