player_name,player_height
Dennis Rodman,198.12
Dwayne Schintzius,215.9
Earl Cureton,205.74
Ed O'Bannon,203.2
Ed Pinckney,205.74
Eddie Johnson,200.66
Eddie Jones,198.12
Elden Campbell,213.36
Eldridge Recasner,193.04
Elliot Perry,182.88
Elmer Bennett,182.88
Elmore Spencer,213.36
Emanual Davis,195.58
Ennis Whatley,190.5
Eric Leckner,210.82
Eric Mobley,210.82
Eric Montross,213.36
Eric Murdock,185.42
Eric Piatkowski,200.66
Eric Snow,190.5
Eric Williams,203.2
Erick Dampier,210.82
Erick Strickland,190.5
Ervin Johnson,210.82
Duane Ferrell,200.66
Duane Causwell,213.36
Doug West,198.12
Doug Overton,190.5
Dell Demps,190.5
Dennis Scott,203.2
Derek Fisher,185.42
Derek Harper,193.04
Derek Strong,205.74
Derrick Alston,210.82
Derrick Coleman,208.28
Derrick McKey,205.74
Detlef Schrempf,208.28
Devin Gray,200.66
Dexter Boney,193.04
Evric Gray,200.66
Dickey Simpkins,205.74
Dino Radja,210.82
Dominique Wilkins,203.2
Don MacLean,208.28
Don Reid,203.2
Donald Royal,203.2
Donald Whiteside,177.8
Donnie Boyce,195.58
Donny Marshall,200.66
Dontonio Wingfield,203.2
Donyell Marshall,205.74
Doug Christie,198.12
Dikembe Mutombo,218.44
Dell Curry,195.58
Felton Spencer,213.36
Frankie King,185.42
Horacio Llamas,210.82
Hot Rod Williams,210.82
Howard Eisley,187.96
Hubert Davis,195.58
Ike Austin,208.28
Isaiah Rider,195.58
Ivano Newbill,208.28
Jack Haley,208.28
Jalen Rose,203.2
Jamal Mashburn,203.2
James Robinson,187.96
James Scott,198.12
Jamie Feick,203.2
Jamie Watson,200.66
Jaren Jackson,198.12
Jason Caffey,203.2
Jason Kidd,193.04
Jason Sasser,200.66
Jayson Williams,205.74
Jeff Grayer,195.58
Jeff Hornacek,193.04
Jeff McInnis,193.04
Jermaine O'Neal,210.82
Horace Grant,208.28
Hersey Hawkins,190.5
Herb Williams,210.82
Henry James,203.2
Fred Roberts,208.28
Gary Grant,190.5
Gary Payton,193.04
Gary Trent,203.2
Gaylon Nickerson,190.5
George Lynch,203.2
George McCloud,203.2
George Zidek,213.36
Gerald Wilkins,198.12
Gheorghe Muresan,231.14
Glen Rice,203.2
Frank Brickowski,205.74
Glenn Robinson,200.66
Grant Long,205.74
Greg Anderson,208.28
Greg Anthony,185.42
Greg Dreiling,215.9
Greg Foster,210.82
Greg Graham,193.04
Greg Minor,198.12
Greg Ostertag,218.44
Hakeem Olajuwon,213.36
Harvey Grant,205.74
Haywoode Workman,187.96
Grant Hill,203.2
Dee Brown,187.96
Dean Garrett,210.82
David Wood,205.74
Ashraf Amaya,203.2
Avery Johnson,180.34
B.J. Armstrong,187.96
Ben Davis,205.74
Ben Wallace,205.74
Benoit Benjamin,213.36
Bill Wennington,213.36
Billy Owens,205.74
Bimbo Coles,187.96
Bison Dele,210.82
Blue Edwards,193.04
Bo Outlaw,203.2
Bob Sura,195.58
Bobby Hurley,182.88
Bobby Phills,195.58
Brad Lohaus,210.82
Brent Barry,198.12
Brent Price,185.42
Brent Scott,208.28
Brett Szabo,210.82
Brian Evans,203.2
Brian Grant,205.74
Brian Shaw,198.12
Arvydas Sabonis,220.98
Armen Gilliam,205.74
Antonio McDyess,205.74
Antonio Lang,203.2
A.C. Green,205.74
Aaron McKie,195.58
Aaron Williams,205.74
Acie Earl,210.82
Adam Keefe,205.74
Adrian Caldwell,203.2
Alan Henderson,205.74
Aleksandar Djordjevic,187.96
Allan Houston,198.12
Allen Iverson,182.88
Alonzo Mourning,208.28
Brooks Thompson,193.04
Alton Lister,213.36
Andrew DeClercq,208.28
Andrew Lang,210.82
Anfernee Hardaway,200.66
Anthony Goldwire,187.96
Anthony Mason,203.2
Anthony Miller,205.74
Anthony Peeler,193.04
Antoine Carr,205.74
Antoine Walker,205.74
Antonio Davis,205.74
Antonio Harvey,210.82
Amal McCaskill,210.82
Bruce Bowen,200.66
Bryant Reeves,213.36
Bryant Stith,195.58
Clifford Robinson,208.28
Clifford Rozier,210.82
Clyde Drexler,200.66
Corie Blount,208.28
Corliss Williamson,200.66
Cory Alexander,185.42
Craig Ehlo,198.12
Cuonzo Martin,195.58
Dale Davis,210.82
Dale Ellis,200.66
Damon Stoudamire,177.8
Clar. Weatherspoon,200.66
Dan Majerle,198.12
Dana Barros,180.34
Danny Ferry,208.28
Danny Manning,208.28
Darrell Armstrong,185.42
Darrick Martin,180.34
Darrin Hancock,200.66
Darvin Ham,200.66
David Robinson,215.9
David Vaughn,205.74
David Wesley,185.42
David Wingate,195.58
Dan Schayes,210.82
Jerome Allen,193.04
Chucky Brown,203.2
Chris Whitney,182.88
Bryon Russell,200.66
Buck Williams,203.2
Byron Scott,193.04
Calbert Cheaney,200.66
Carl Herrera,205.74
Carl Thomas,193.04
Carlos Rogers,210.82
Cedric Ceballos,200.66
Charles Barkley,198.12
Charles Jones,205.74
Charles Oakley,205.74
Christian Laettner,210.82
Charles Smith,208.28
Cherokee Parks,210.82
Chris Carr,198.12
Chris Childs,190.5
Chris Dudley,210.82
Chris Gatling,208.28
Chris Jent,200.66
Chris Mills,200.66
Chris Morris,203.2
Chris Mullin,200.66
Chris Robinson,195.58
Chris Webber,208.28
Charlie Ward,187.96
Jerome Kersey,200.66
Fred Hoiberg,193.04
Jerry Stackhouse,198.12
Rumeal Robinson,187.96
Sam Cassell,190.5
Sam Mack,200.66
Sam Mitchell,200.66
Sam Perkins,205.74
Samaki Walker,205.74
Sarunas Marciulionis,195.58
Sasha Danilovic,198.12
Scott Brooks,180.34
Scott Burrell,200.66
Scott Williams,208.28
Ruben Nembhard,190.5
Scottie Pippen,200.66
Sean Rooks,208.28
Sedale Threatt,187.96
Shandon Anderson,198.12
Shane Heal,182.88
Shaquille O'Neal,215.9
Shareef Abdur-Rahim,205.74
Sharone Wright,210.82
Shawn Bradley,228.6
Shawn Kemp,208.28
Jerome Williams,205.74
Shawnelle Scott,210.82
Sean Elliott,203.2
Sherman Douglas,185.42
Roy Rogers,208.28
Ron Harper,198.12
Randolph Childress,187.96
Randy Brown,187.96
Randy Livingston,193.04
Rasheed Wallace,210.82
Ray Allen,195.58
Ray Owes,205.74
Reggie Geary,187.96
Reggie Jordan,193.04
Reggie Miller,200.66
Reggie Slater,200.66
Reggie Williams,201.0
Rony Seikaly,210.82
Rex Chapman,193.04
Richard Manning,210.82
Rick Fox,200.66
Rick Mahorn,208.28
Ricky Pierce,193.04
Rik Smits,223.52
Robert Horry,208.28
Robert Pack,187.96
