Category: All categories

Week,personal responsibility: (United States),individual choice: (United States)
2018-12-30,39,11
2019-01-06,57,29
2019-01-13,67,46
2019-01-20,85,36
2019-01-27,96,33
2019-02-03,72,41
2019-02-10,90,41
2019-02-17,63,47
2019-02-24,75,46
2019-03-03,85,29
2019-03-10,62,27
2019-03-17,84,43
2019-03-24,89,41
2019-03-31,79,39
2019-04-07,92,34
2019-04-14,83,51
2019-04-21,79,36
2019-04-28,84,48
2019-05-05,81,38
2019-05-12,75,28
2019-05-19,54,23
2019-05-26,42,12
2019-06-02,71,21
2019-06-09,61,24
2019-06-16,64,23
2019-06-23,57,20
2019-06-30,50,12
2019-07-07,41,19
2019-07-14,40,17
2019-07-21,47,18
2019-07-28,33,15
2019-08-04,49,12
2019-08-11,57,12
2019-08-18,48,21
2019-08-25,61,38
2019-09-01,76,35
2019-09-08,98,41
2019-09-15,83,44
2019-09-22,100,39
2019-09-29,73,38
2019-10-06,96,31
2019-10-13,91,48
2019-10-20,87,42
2019-10-27,86,48
2019-11-03,76,31
2019-11-10,84,51
2019-11-17,71,48
2019-11-24,63,24
2019-12-01,78,50
2019-12-08,69,43
2019-12-15,66,28
2019-12-22,17,14
