Category: All categories

Month,freedom: (United States),choice: (United States)
2004-01,60,56
2004-02,64,51
2004-03,64,51
2004-04,69,58
2004-05,66,50
2004-06,62,53
2004-07,64,53
2004-08,55,61
2004-09,66,53
2004-10,65,56
2004-11,62,50
2004-12,59,49
2005-01,62,59
2005-02,66,56
2005-03,63,52
2005-04,65,54
2005-05,67,50
2005-06,66,49
2005-07,61,53
2005-08,56,58
2005-09,59,51
2005-10,58,48
2005-11,58,50
2005-12,53,47
2006-01,56,57
2006-02,62,48
2006-03,57,55
2006-04,62,61
2006-05,67,52
2006-06,61,51
2006-07,57,53
2006-08,51,69
2006-09,59,49
2006-10,59,49
2006-11,55,46
2006-12,53,44
2007-01,74,56
2007-02,62,51
2007-03,58,57
2007-04,64,57
2007-05,67,51
2007-06,62,52
2007-07,57,53
2007-08,53,60
2007-09,62,49
2007-10,57,52
2007-11,55,51
2007-12,51,47
2008-01,55,56
2008-02,56,51
2008-03,58,60
2008-04,61,55
2008-05,57,52
2008-06,57,51
2008-07,56,52
2008-08,46,64
2008-09,56,52
2008-10,57,53
2008-11,59,53
2008-12,53,48
2009-01,59,63
2009-02,58,53
2009-03,58,67
2009-04,58,57
2009-05,58,51
2009-06,55,53
2009-07,57,51
2009-08,52,74
2009-09,56,49
2009-10,52,48
2009-11,51,47
2009-12,51,45
2010-01,52,57
2010-02,53,50
2010-03,55,63
2010-04,56,52
2010-05,55,51
2010-06,51,56
2010-07,51,51
2010-08,49,62
2010-09,53,47
2010-10,48,47
2010-11,49,48
2010-12,46,45
2011-01,51,61
2011-02,56,52
2011-03,55,63
2011-04,54,64
2011-05,60,56
2011-06,55,56
2011-07,54,59
2011-08,50,69
2011-09,61,52
2011-10,53,54
2011-11,53,52
2011-12,46,49
2012-01,52,63
2012-02,57,54
2012-03,54,62
2012-04,56,64
2012-05,56,60
2012-06,51,64
2012-07,53,75
2012-08,49,53
2012-09,57,52
2012-10,51,53
2012-11,55,50
2012-12,49,47
2013-01,56,60
2013-02,57,54
2013-03,56,66
2013-04,57,57
2013-05,57,56
2013-06,56,51
2013-07,54,59
2013-08,50,74
2013-09,55,51
2013-10,53,52
2013-11,53,52
2013-12,53,51
2014-01,56,60
2014-02,60,56
2014-03,57,69
2014-04,59,62
2014-05,58,58
2014-06,57,58
2014-07,59,59
2014-08,50,76
2014-09,58,55
2014-10,55,55
2014-11,56,51
2014-12,52,53
2015-01,55,62
2015-02,55,58
2015-03,65,68
2015-04,66,61
2015-05,61,61
2015-06,63,64
2015-07,62,66
2015-08,54,78
2015-09,62,56
2015-10,63,57
2015-11,68,55
2015-12,59,55
2016-01,58,83
2016-02,63,100
2016-03,58,79
2016-04,63,70
2016-05,60,77
2016-06,60,67
2016-07,63,74
2016-08,52,66
2016-09,60,61
2016-10,56,62
2016-11,66,60
2016-12,55,63
2017-01,66,73
2017-02,62,69
2017-03,67,74
2017-04,60,68
2017-05,60,66
2017-06,54,65
2017-07,57,73
2017-08,54,76
2017-09,56,58
2017-10,59,62
2017-11,56,61
2017-12,51,62
2018-01,55,64
2018-02,61,64
2018-03,61,73
2018-04,62,68
2018-05,59,69
2018-06,55,65
2018-07,58,64
2018-08,52,66
2018-09,56,62
2018-10,54,63
2018-11,53,68
2018-12,48,59
2019-01,51,68
2019-02,55,63
2019-03,55,71
2019-04,58,65
2019-05,59,69
2019-06,53,62
2019-07,57,61
2019-08,51,63
2019-09,56,62
2019-10,54,62
2019-11,50,67
2019-12,46,58
2020-01,51,67
2020-02,47,55
