age,income,pto_days,vacation
63,21272,4,0
50,41000,2,0
58,5445,0,0
40,103000,11,1
26,24000,4,0
45,119467,11,1
65,55333,8,0
23,9476,0,0
26,51726,0,0
28,19826,0,0
51,165399,11,1
48,100333,12,1
61,73458,8,0
47,57958,2,0
45,47778,5,0
61,14000,3,0
68,202794,6,1
36,46032,0,0
49,41712,6,0
34,72930,2,0
58,555,0,0
45,1912,0,0
21,57839,7,0
68,99061,5,0
40,65036,10,1
51,128342,4,0
26,222,0,0
55,3000,2,0
28,66189,0,0
37,28778,6,0
56,35364,6,0
72,41376,0,0
43,165155,9,1
27,17996,0,0
50,103000,11,1
43,27154,6,0
45,118835,2,1
63,136905,12,1
47,82907,2,0
47,85578,7,1
57,112000,0,1
22,15469,0,0
22,74156,5,0
38,333,2,0
55,81954,7,1
48,255000,10,1
34,44632,1,0
52,100411,4,1
42,129366,9,1
51,59558,4,0
49,66901,10,1
37,65238,7,0
51,16467,8,0
56,186698,12,0
27,65737,2,0
32,75696,5,0
69,151088,7,1
40,77581,8,0
42,244712,11,1
61,57000,2,1
38,39142,5,0
41,52333,12,1
50,81783,0,0
38,49000,8,1
49,100255,7,0
37,52290,5,0
54,96605,0,0
62,63229,2,0
30,76522,4,0
71,40815,11,1
39,25778,6,0
16,17855,0,0
33,33333,7,1
40,135297,7,1
52,60000,4,0
30,22186,2,0
33,24733,3,0
31,26575,0,0
22,1371,0,0
58,60015,3,0
58,108740,9,1
64,83596,0,0
26,26527,3,0
23,31000,4,1
24,27663,0,0
70,57333,6,1
68,376,3,0
32,26489,0,0
36,76283,0,0
27,7425,3,0
54,33221,5,0
29,28503,1,0
60,57438,1,0
39,69003,7,0
31,10718,2,0
26,22155,0,0
47,30395,8,0
64,57445,5,0
23,12261,0,0
25,26751,5,0
53,124774,9,1
62,48333,6,1
48,12333,11,0
45,41348,9,1
46,135344,7,0
21,73000,7,0
67,58000,7,0
33,26854,0,0
64,54651,4,0
45,1830,8,0
49,40489,4,0
22,62333,7,1
55,18778,3,0
32,105758,3,0
45,81126,7,0
70,109109,10,1
58,98241,0,0
41,29445,2,0
18,11467,0,0
45,141556,11,1
71,71778,6,1
39,13800,9,0
28,70800,5,0
44,0,0,0
57,59793,2,0
44,102333,9,1
60,51333,6,1
34,75728,0,0
74,57909,3,0
30,18529,0,0
54,40445,0,1
35,94224,7,0
44,6496,2,0
55,32445,1,0
25,16625,0,0
31,19515,0,0
40,111388,10,1
26,555,0,0
50,64107,3,0
37,106023,10,1
52,80952,3,0
54,96755,2,0
34,27000,3,0
29,72000,5,0
58,33333,6,0
73,86807,5,0
27,25827,0,0
42,88096,2,0
46,71482,1,0
27,10976,0,0
68,86889,3,0
21,58000,1,1
30,91686,1,0
49,11971,2,0
71,70800,7,1
41,31499,2,0
54,50450,0,0
68,92445,4,1
35,7779,3,0
21,3333,4,0
34,11333,11,0
72,73467,7,1
36,47611,0,0
72,69866,3,0
34,34000,1,0
29,33445,0,1
66,88821,0,0
56,17912,1,0
54,94730,5,0
57,24784,5,0
57,236274,11,1
45,102206,5,1
33,48333,12,1
41,16425,0,0
60,72473,6,0
63,76605,2,0
19,233406,1,0
76,55813,4,0
39,23478,3,0
57,49050,0,0
63,58396,2,0
36,38000,3,0
64,61467,3,1
65,7582,5,0
22,86980,0,0
57,69000,9,1
23,61241,7,0
59,53604,6,0
35,7349,0,0
75,6666,3,0
72,78456,4,0
22,63621,1,0
45,11445,6,0
70,91010,6,0
46,8316,0,0
42,48477,8,1
25,2970,2,0
25,76467,6,0
52,62458,2,0
69,17562,0,0
40,40572,2,0
31,4238,6,0
31,73000,7,1
40,25266,1,0
40,136138,7,1
53,248488,10,1
59,537,1,0
52,5021,0,0
29,66333,3,1
45,93000,11,0
55,60424,7,0
46,73678,0,0
51,71059,2,0
50,96445,8,0
49,85365,4,0
36,47966,3,0
23,78421,4,0
21,23338,0,0
31,3653,0,0
35,26778,1,0
27,75784,4,0
53,15592,3,0
66,72018,1,0
47,96000,0,0
24,7356,0,0
35,99648,4,0
34,158784,4,1
28,12348,2,0
24,10443,0,0
47,97083,2,0
46,92000,9,0
61,3445,0,0
66,61467,0,1
54,206627,7,1
59,4467,1,0
73,19953,2,0
54,83000,11,0
65,30523,3,0
26,78000,10,0
29,31333,4,1
51,46937,2,0
75,77049,6,0
20,77888,3,0
68,95294,2,0
22,296912,5,1
66,53187,0,0
23,22625,2,0
25,98355,4,0
58,18382,0,0
67,240453,12,1
41,47476,1,0
37,34000,3,0
20,16313,0,0
61,64674,5,0
60,38088,4,0
55,43333,7,1
65,75081,4,0
59,54000,0,1
22,62416,0,0
55,79000,7,0
26,4050,3,0
42,79321,3,0
65,87970,5,0
36,35000,4,0
61,18967,3,0
44,39887,0,0
48,36186,6,0
73,96333,11,1
63,92041,2,0
55,116842,9,1
34,27044,2,0
34,24904,3,0
40,85476,6,0
29,73245,3,0
56,641,2,0
22,14317,1,0
49,42523,0,0
33,23778,0,0
47,37055,7,0
54,15778,6,0
67,20852,0,0
61,94876,12,1
21,87002,2,0
60,64467,5,1
66,71857,1,0
70,37516,5,0
66,62778,3,1
35,95224,2,0
46,25583,4,0
51,98350,6,1
70,33445,6,0
63,37912,0,0
22,51547,6,0
55,109333,2,1
35,96804,5,0
56,4802,6,0
31,22333,4,0
34,48333,12,1
62,22445,0,0
29,1290,1,0
20,11836,0,0
48,83710,8,0
35,39308,4,0
48,15892,4,0
72,71000,1,1
38,29955,1,0
43,65289,6,0
24,6000,0,0
29,9671,0,0
59,20445,0,0
45,105000,9,1
52,60000,4,0
44,48445,0,0
58,208818,11,1
35,91714,0,0
31,24000,2,0
45,77040,0,0
25,29485,3,0
64,49470,0,0
40,99506,8,0
49,103000,12,0
25,27937,6,0
27,70467,3,0
53,60333,6,0
21,64445,0,1
20,52069,3,0
25,45475,3,0
69,149481,9,0
52,54000,2,1
38,74428,2,0
23,30000,4,1
40,49906,4,0
31,39436,2,0
37,82770,4,0
58,99143,9,1
64,53467,2,1
54,48467,0,0
25,35748,0,0
54,63000,6,0
23,6333,4,0
73,39333,3,1
54,59000,1,0
50,79544,4,0
55,118165,8,1
53,113339,4,1
27,76445,3,0
48,103680,10,1
23,73876,5,0
60,20352,2,0
75,74411,7,0
54,85227,2,0
69,16921,5,0
30,76000,9,1
35,6022,1,0
36,7682,2,0
23,13333,4,0
48,27059,6,0
72,95583,8,0
41,26000,2,1
63,71168,2,0
58,333,2,0
35,26000,6,0
44,97609,9,1
44,140675,10,1
33,88103,0,0
32,82970,1,0
45,111729,4,1
59,183645,9,1
44,108756,9,1
67,133774,7,1
42,33778,0,0
75,66000,0,1
21,12000,1,0
72,39000,1,1
37,93755,0,0
57,132574,5,0
19,8090,0,0
