,LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State"""
0,41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH
1,42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD
2,46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA
3,42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA
4,43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI
5,36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC
6,49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB
7,39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA
8,34,14,24," ""N""",77,55,11," ""W"""," ""Wilmington""", NC
9,39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE
10,48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND
11,41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA
12,37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV
13,33,54,0," ""N""",98,29,23," ""W"""," ""Wichita Falls""", TX
14,37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS
15,40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV
16,26,43,11," ""N""",80,3,0," ""W"""," ""West Palm Beach""", FL
17,47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA
18,41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA
19,31,13,11," ""N""",82,20,59," ""W"""," ""Waycross""", GA
20,44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI
21,42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL
22,44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD
23,43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY
24,42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA
25,41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT
26,38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC
27,41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA
28,46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA
29,31,32,59," ""N""",97,8,23," ""W"""," ""Waco""", TX
30,38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN
31,28,48,35," ""N""",97,0,36," ""W"""," ""Victoria""", TX
32,32,20,59," ""N""",90,52,47," ""W"""," ""Vicksburg""", MS
33,49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC
34,46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND
35,30,49,47," ""N""",83,16,47," ""W"""," ""Valdosta""", GA
36,43,6,36," ""N""",75,13,48," ""W"""," ""Utica""", NY
37,39,54,0," ""N""",79,43,48," ""W"""," ""Uniontown""", PA
38,32,20,59," ""N""",95,18,0," ""W"""," ""Tyler""", TX
39,42,33,36," ""N""",114,28,12," ""W"""," ""Twin Falls""", ID
40,33,12,35," ""N""",87,34,11," ""W"""," ""Tuscaloosa""", AL
41,34,15,35," ""N""",88,42,35," ""W"""," ""Tupelo""", MS
42,36,9,35," ""N""",95,54,36," ""W"""," ""Tulsa""", OK
43,32,13,12," ""N""",110,58,12," ""W"""," ""Tucson""", AZ
