,Team," ""Payroll (millions)"""," ""Wins"""
0,Nationals,81.34,98
1,Reds,82.2,97
2,Yankees,197.96,95
3,Giants,117.62,94
4,Braves,83.31,94
5,Athletics,55.37,94
6,Rangers,120.51,93
7,Orioles,81.43,93
8,Rays,64.17,90
9,Angels,154.49,89
10,Tigers,132.3,88
11,Cardinals,110.3,88
12,Dodgers,95.14,86
13,White Sox,96.92,85
14,Brewers,97.65,83
15,Phillies,174.54,81
16,Diamondbacks,74.28,81
17,Pirates,63.43,79
18,Padres,55.24,76
19,Mariners,81.97,75
20,Mets,93.35,74
21,Blue Jays,75.48,73
22,Royals,60.91,72
23,Marlins,118.07,69
24,Red Sox,173.18,69
25,Indians,78.43,68
26,Twins,94.08,66
27,Rockies,78.06,64
28,Cubs,88.19,61
29,Astros,60.65,55
